cohort_id,cohort,slice,period_vs_mdl,occp_cod,reporter_label,reporter_group,n_cases,cohort_n_cases,pct_of_cohort
1,1 SEMAGLUTIDE + NAION,2025Q4,MDL quarter (established Dec 2025),LW,Lawyer,Lawyer,1,111,0.90
1,1 SEMAGLUTIDE + NAION,2025Q4,MDL quarter (established Dec 2025),(blank),(not reported),Not reported,0,111,0.00
1,1 SEMAGLUTIDE + NAION,2026Q1,post-MDL,MD,Physician,Healthcare professional,59,196,30.10
1,1 SEMAGLUTIDE + NAION,2026Q1,post-MDL,PH,Pharmacist,Healthcare professional,2,196,1.02
1,1 SEMAGLUTIDE + NAION,2026Q1,post-MDL,HP,Other health professional,Healthcare professional,8,196,4.08
1,1 SEMAGLUTIDE + NAION,2026Q1,post-MDL,RN,Registered nurse,Healthcare professional,0,196,0.00
1,1 SEMAGLUTIDE + NAION,2026Q1,post-MDL,OT,Other,Other,0,196,0.00
1,1 SEMAGLUTIDE + NAION,2026Q1,post-MDL,CN,Consumer,Consumer,62,196,31.63
1,1 SEMAGLUTIDE + NAION,2026Q1,post-MDL,LW,Lawyer,Lawyer,7,196,3.57
1,1 SEMAGLUTIDE + NAION,2026Q1,post-MDL,(blank),(not reported),Not reported,58,196,29.59
1,1 SEMAGLUTIDE + NAION,2026Q2,post-MDL,MD,Physician,Healthcare professional,48,192,25.00
1,1 SEMAGLUTIDE + NAION,2026Q2,post-MDL,PH,Pharmacist,Healthcare professional,3,192,1.56
1,1 SEMAGLUTIDE + NAION,2026Q2,post-MDL,HP,Other health professional,Healthcare professional,0,192,0.00
1,1 SEMAGLUTIDE + NAION,2026Q2,post-MDL,RN,Registered nurse,Healthcare professional,0,192,0.00
1,1 SEMAGLUTIDE + NAION,2026Q2,post-MDL,OT,Other,Other,0,192,0.00
1,1 SEMAGLUTIDE + NAION,2026Q2,post-MDL,CN,Consumer,Consumer,0,192,0.00
1,1 SEMAGLUTIDE + NAION,2026Q2,post-MDL,LW,Lawyer,Lawyer,4,192,2.08
1,1 SEMAGLUTIDE + NAION,2026Q2,post-MDL,(blank),(not reported),Not reported,137,192,71.35
2,2 DULAGLUTIDE + gastroparesis,ALL QUARTERS,all quarters,MD,Physician,Healthcare professional,0,974,0.00
2,2 DULAGLUTIDE + gastroparesis,ALL QUARTERS,all quarters,PH,Pharmacist,Healthcare professional,0,974,0.00
2,2 DULAGLUTIDE + gastroparesis,ALL QUARTERS,all quarters,HP,Other health professional,Healthcare professional,0,974,0.00
2,2 DULAGLUTIDE + gastroparesis,ALL QUARTERS,all quarters,RN,Registered nurse,Healthcare professional,0,974,0.00
2,2 DULAGLUTIDE + gastroparesis,ALL QUARTERS,all quarters,OT,Other,Other,0,974,0.00
2,2 DULAGLUTIDE + gastroparesis,ALL QUARTERS,all quarters,CN,Consumer,Consumer,248,974,25.46
2,2 DULAGLUTIDE + gastroparesis,ALL QUARTERS,all quarters,LW,Lawyer,Lawyer,718,974,73.72
2,2 DULAGLUTIDE + gastroparesis,ALL QUARTERS,all quarters,(blank),(not reported),Not reported,8,974,0.82
2,2 DULAGLUTIDE + gastroparesis,2025Q3,pre-MDL,MD,Physician,Healthcare professional,0,55,0.00
2,2 DULAGLUTIDE + gastroparesis,2025Q3,pre-MDL,PH,Pharmacist,Healthcare professional,0,55,0.00
2,2 DULAGLUTIDE + gastroparesis,2025Q3,pre-MDL,HP,Other health professional,Healthcare professional,0,55,0.00
2,2 DULAGLUTIDE + gastroparesis,2025Q3,pre-MDL,RN,Registered nurse,Healthcare professional,0,55,0.00
2,2 DULAGLUTIDE + gastroparesis,2025Q3,pre-MDL,OT,Other,Other,0,55,0.00
2,2 DULAGLUTIDE + gastroparesis,2025Q3,pre-MDL,CN,Consumer,Consumer,7,55,12.73
2,2 DULAGLUTIDE + gastroparesis,2025Q3,pre-MDL,LW,Lawyer,Lawyer,48,55,87.27
2,2 DULAGLUTIDE + gastroparesis,2025Q3,pre-MDL,(blank),(not reported),Not reported,0,55,0.00
2,2 DULAGLUTIDE + gastroparesis,2025Q4,MDL quarter (established Dec 2025),MD,Physician,Healthcare professional,0,97,0.00
2,2 DULAGLUTIDE + gastroparesis,2025Q4,MDL quarter (established Dec 2025),PH,Pharmacist,Healthcare professional,0,97,0.00
2,2 DULAGLUTIDE + gastroparesis,2025Q4,MDL quarter (established Dec 2025),HP,Other health professional,Healthcare professional,0,97,0.00
2,2 DULAGLUTIDE + gastroparesis,2025Q4,MDL quarter (established Dec 2025),RN,Registered nurse,Healthcare professional,0,97,0.00
2,2 DULAGLUTIDE + gastroparesis,2025Q4,MDL quarter (established Dec 2025),OT,Other,Other,0,97,0.00
2,2 DULAGLUTIDE + gastroparesis,2025Q4,MDL quarter (established Dec 2025),CN,Consumer,Consumer,6,97,6.19
2,2 DULAGLUTIDE + gastroparesis,2025Q4,MDL quarter (established Dec 2025),LW,Lawyer,Lawyer,91,97,93.81
2,2 DULAGLUTIDE + gastroparesis,2025Q4,MDL quarter (established Dec 2025),(blank),(not reported),Not reported,0,97,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q1,post-MDL,MD,Physician,Healthcare professional,0,598,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q1,post-MDL,PH,Pharmacist,Healthcare professional,0,598,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q1,post-MDL,HP,Other health professional,Healthcare professional,0,598,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q1,post-MDL,RN,Registered nurse,Healthcare professional,0,598,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q1,post-MDL,OT,Other,Other,0,598,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q1,post-MDL,CN,Consumer,Consumer,235,598,39.30
2,2 DULAGLUTIDE + gastroparesis,2026Q1,post-MDL,LW,Lawyer,Lawyer,360,598,60.20
2,2 DULAGLUTIDE + gastroparesis,2026Q1,post-MDL,(blank),(not reported),Not reported,3,598,0.50
2,2 DULAGLUTIDE + gastroparesis,2026Q2,post-MDL,MD,Physician,Healthcare professional,0,224,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q2,post-MDL,PH,Pharmacist,Healthcare professional,0,224,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q2,post-MDL,HP,Other health professional,Healthcare professional,0,224,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q2,post-MDL,RN,Registered nurse,Healthcare professional,0,224,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q2,post-MDL,OT,Other,Other,0,224,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q2,post-MDL,CN,Consumer,Consumer,0,224,0.00
2,2 DULAGLUTIDE + gastroparesis,2026Q2,post-MDL,LW,Lawyer,Lawyer,219,224,97.77
2,2 DULAGLUTIDE + gastroparesis,2026Q2,post-MDL,(blank),(not reported),Not reported,5,224,2.23
3,3 SEMAGLUTIDE - all events,ALL QUARTERS,all quarters,MD,Physician,Healthcare professional,3504,35705,9.81
3,3 SEMAGLUTIDE - all events,ALL QUARTERS,all quarters,PH,Pharmacist,Healthcare professional,1009,35705,2.83
3,3 SEMAGLUTIDE - all events,ALL QUARTERS,all quarters,HP,Other health professional,Healthcare professional,1520,35705,4.26
3,3 SEMAGLUTIDE - all events,ALL QUARTERS,all quarters,RN,Registered nurse,Healthcare professional,0,35705,0.00
3,3 SEMAGLUTIDE - all events,ALL QUARTERS,all quarters,OT,Other,Other,0,35705,0.00
3,3 SEMAGLUTIDE - all events,ALL QUARTERS,all quarters,CN,Consumer,Consumer,14668,35705,41.08
3,3 SEMAGLUTIDE - all events,ALL QUARTERS,all quarters,LW,Lawyer,Lawyer,22,35705,0.06
3,3 SEMAGLUTIDE - all events,ALL QUARTERS,all quarters,(blank),(not reported),Not reported,14982,35705,41.96
3,3 SEMAGLUTIDE - all events,2025Q3,pre-MDL,MD,Physician,Healthcare professional,1169,13552,8.63
3,3 SEMAGLUTIDE - all events,2025Q3,pre-MDL,PH,Pharmacist,Healthcare professional,249,13552,1.84
3,3 SEMAGLUTIDE - all events,2025Q3,pre-MDL,HP,Other health professional,Healthcare professional,762,13552,5.62
3,3 SEMAGLUTIDE - all events,2025Q3,pre-MDL,RN,Registered nurse,Healthcare professional,0,13552,0.00
3,3 SEMAGLUTIDE - all events,2025Q3,pre-MDL,OT,Other,Other,0,13552,0.00
3,3 SEMAGLUTIDE - all events,2025Q3,pre-MDL,CN,Consumer,Consumer,11356,13552,83.80
3,3 SEMAGLUTIDE - all events,2025Q3,pre-MDL,LW,Lawyer,Lawyer,2,13552,0.01
3,3 SEMAGLUTIDE - all events,2025Q3,pre-MDL,(blank),(not reported),Not reported,14,13552,0.10
3,3 SEMAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),MD,Physician,Healthcare professional,582,3061,19.01
3,3 SEMAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),PH,Pharmacist,Healthcare professional,191,3061,6.24
3,3 SEMAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),HP,Other health professional,Healthcare professional,486,3061,15.88
3,3 SEMAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),RN,Registered nurse,Healthcare professional,0,3061,0.00
3,3 SEMAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),OT,Other,Other,0,3061,0.00
3,3 SEMAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),CN,Consumer,Consumer,1774,3061,57.95
3,3 SEMAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),LW,Lawyer,Lawyer,2,3061,0.07
3,3 SEMAGLUTIDE - all events,2025Q4,MDL quarter (established Dec 2025),(blank),(not reported),Not reported,26,3061,0.85
3,3 SEMAGLUTIDE - all events,2026Q1,post-MDL,MD,Physician,Healthcare professional,554,3323,16.67
3,3 SEMAGLUTIDE - all events,2026Q1,post-MDL,PH,Pharmacist,Healthcare professional,213,3323,6.41
3,3 SEMAGLUTIDE - all events,2026Q1,post-MDL,HP,Other health professional,Healthcare professional,264,3323,7.94
3,3 SEMAGLUTIDE - all events,2026Q1,post-MDL,RN,Registered nurse,Healthcare professional,0,3323,0.00
3,3 SEMAGLUTIDE - all events,2026Q1,post-MDL,OT,Other,Other,0,3323,0.00
