event_type,event,sema_a,sema_PRR,tirz_a,tirz_PRR,dula_a,dula_PRR,lira_a,lira_PRR,n_drugs_signal
PT,Injection site mass,64,0.8798858245,651,5.5172612164,53,6.5721616172,2,0.5376918948,2
PT,Injection site pain,506,0.6893170168,3796,2.8815733134,368,4.517750101,8,0.2139878664,2
PT,Injection site pruritus,15,0.1158673042,1157,5.6346865426,29,2.0330348152,3,0.461366986,2
PT,Injection site urticaria,14,0.2400415977,427,4.3847521173,22,3.4257881915,2,0.6808863513,2
PT,Intestinal ischaemia,27,2.6147388321,25,1.1990055664,5,4.1707633569,1,1.8226346434,2
PT,Intraductal papillary mucinous neoplasm,6,7.1718550823,6,3.5682405655,1,9.4676328203,1,20.869166667,2
PT,Intussusception,10,4.3129712694,11,2.3850219057,1,3.5726916303,,,2
PT,Ketoacidosis,24,2.2819538898,56,2.8569246358,1,0.8179380406,,,2
PT,Ketosis,9,2.0688043507,23,2.8496365627,,,1,4.3935087719,2
PT,Lack of satiety,27,37.652239182,18,9.6068015224,,,1,14.906547619,2
PT,Medullary thyroid cancer,21,31.376865985,18,12.085976109,,,2,35.521985816,2
PT,Mesenteric panniculitis,4,6.9726368856,7,6.938245544,,,,,2
PT,Muscle atrophy,158,6.1661005294,130,2.4599234201,6,1.8563985922,,,2
PT,Neck mass,22,4.7936878588,30,3.3937070596,1,1.7779592151,1,3.9190923318,2
PT,Obstructive pancreatitis,32,8.9848743761,93,21.997392122,1,2.1039184045,,,2
PT,Oedematous pancreatitis,2,1.349542623,7,2.5561957267,3,18.62485145,,,2
PT,Oesophageal injury,11,13.945273771,5,2.6685559785,,,1,19.413178295,2
PT,Optic nerve disorder,9,4.4296751979,12,3.0460590193,2,8.2327241915,,,2
PT,Pancreatic carcinoma,78,3.59382606,57,1.2771151647,12,4.6657738745,3,2.5476093591,2
PT,Pancreatic cyst,14,2.988272951,23,2.560101297,2,3.6413972386,1,3.9940988836,2
PT,Pancreatic enzymes increased,18,6.1724982266,35,6.938245544,2,5.4884827944,2,12.098067633,2
PT,Papillary thyroid cancer,20,7.0908171718,34,6.804817745,1,2.7642723563,,,2
PT,Papilloedema,23,3.5375878317,8,0.580201718,,,3,8.576369863,2
PT,Post-traumatic stress disorder,32,2.4837593359,15,0.5615486501,11,7.4388543588,1,1.464502924,2
PT,Prescription drug used without a prescription,90,5.7837540986,5,0.1414044608,1,0.5117639362,5,5.6709692029,2
PT,Retinopathy,25,5.6534893667,27,3.0710267162,,,,,2
PT,Sensitive skin,110,4.6910706876,115,2.4525560581,3,1.0442242081,,,2
PT,Skin sensitisation,10,6.5368470802,12,4.028658703,,,,,2
PT,Small intestinal obstruction,69,2.9728853457,60,1.2743716305,22,8.1842012592,1,0.8034327879,2
PT,Starvation,20,8.537922717,25,5.5953593097,1,3.2367975454,,,2
PT,Starvation ketoacidosis,5,4.0226751263,21,12.141929702,1,6.7625948716,,,2
PT,Strangulated hernia,3,6.6056559969,3,3.2865373629,,,,,2
PT,Thirst decreased,17,10.458955328,9,2.4649030222,1,4.5083965811,,,2
PT,Thyroid neoplasm,9,6.6056559969,9,3.2865373629,,,1,12.842564103,2
PT,Vitreous detachment,11,2.5566335247,19,2.2993023024,,,,,2
PT,Vomiting projectile,53,7.7257788488,90,7.4933051875,,,,,2
PT,Wernicke's encephalopathy,10,5.6534893667,13,3.8111489608,1,4.5627146122,,,2
PT,Wrong patient received product,2,0.2060877897,48,2.7752982176,4,3.7495575526,,,2
